SOFIA_name,Coordinates,Property,R37,Lbol,alpha,R,env_mass,env_mass_std,calc_mass,sLsun,sLsun_std,Lbol,inc,ext,s
Oph.5,16h27m06.8s -24d38m15.4s,Isolated,1.30789471572,0.544751950568,0.352176551292,1.35587649352,0.0010000000475,0.0,0.0319561211385,4.25,0.463816165924,0.544751950568,80.9152832031,14.0,0.850000023842
NGC1333.4,03h29m11.1s +31d18m30.8s,Isolated,1.10255145149,3.05524672219,2.00459455594,0.830833722964,2.91899991035,0.44650888443,1.49609238826,2.33099985123,0.350655257702,3.05524672219,18.6717185974,11.0,0.699999988079
NGC1333.7,03h28m43.4s +31d17m34.8s,Isolated,1.18928947074,1.35668649749,0.930287199495,1.83294855832,0.0010000000475,0.000995495123789,,9.5625,1.75868034363,1.35668649749,58.2431373596,0.0,0.699999988079
Oph.16,16h26m24.1s -24d24m48.3s,Isolated,1.79788011537,2.1758430628,-0.744969525849,1.86938948501,0.0010000000475,0.0,,17.716999054,2.92358374596,2.1758430628,77.8468017578,10.0,0.699999988079
NGC1333.5,03h29m10.6s +31d18m19.6s,Isolated,1.62346989206,2.78605885712,1.78003013594,0.765792822465,1.29700005054,0.326535224915,1.49609238826,1.25800001621,0.261527776718,2.78605885712,18.6717185974,14.0,0.850000023842
NGC2264.3,06h41m06.5s +09d35m54.2s,Isolated,1.61064927797,1.88059628547,1.7580128155,1.01232977211,1.94599997997,0.330677121878,,14.4500007629,1.72531199455,1.88059628547,18.6717185974,3.0,1.0
NGC2264.7,06h41m05.7s +09d34m06.9s,Isolated,1.70278066336,1.91032801195,1.32227069409,0.46655459702,0.11400000006,0.268293678761,,11.8999996185,5.305580616,1.91032801195,26.525352478,13.0,1.29999995232
S140.7,22h19m14.7s +63d19m00.0s,Isolated,0.0,2.35409836787,1.487656666,0.0714236027561,0.384000003338,0.32055041194,,26.6000003815,10.5429382324,2.35409836787,18.6717185974,10.0,0.699999988079
IRAS20050.7,20h07m07.9s +27d27m15.8s,Isolated,0.0,2.97982455843,1.23476939767,1.41579043865,0.0149999996647,0.0397119596601,3.19561211385,3.5,3.15292739868,2.97982455843,18.6717185974,14.0,0.699999988079
Oph.13,16h27m30.1s -24d27m43.3s,Isolated,0.0,1.49126920974,-0.391855769005,2.22573606372,0.0010000000475,0.0,0.00852163230361,17.716999054,5.50183010101,1.49126920974,80.9152832031,14.0,0.699999988079
S140.6,22h19m22.4s +63d18m04.5s,Isolated,1.04276794546,2.04325613491,1.50281690186,0.154208495468,0.0759999975562,0.0395123325288,,10.3999996185,3.10383915901,2.04325613491,18.6717185974,14.0,1.0
NGC2264.9,06h41m05.8s +09d35m29.8s,Isolated,1.79678586379,7.19086053366,0.287068655896,0.474067295591,0.00400000018999,0.0,,65.4925003052,6.83244419098,7.19086053366,26.525352478,13.0,1.0
NGC2264.6,06h41m11.9s +09d35m33.8s,Isolated,1.4003619994,2.37211516639,1.37160964471,0.42441933006,0.0219999998808,0.0103329624981,,11.0,4.25163316727,2.37211516639,0.0,14.0,1.0
NGC1333.6,03h29m13.0s +31d18m13.8s,Isolated,0.950532415301,1.49504951517,0.87163894151,1.20506087691,0.0010000000475,0.000698299671058,0.471269102303,7.5,1.18858706951,1.49504951517,26.525352478,14.0,1.29999995232
NGC2264.5,06h41m06.7s +09d34m45.9s,Isolated,1.23332040047,16.6590803526,0.0982148247393,0.794168403372,0.00700000021607,0.00163982424419,,59.5,7.28258705139,16.6590803526,0.0,7.0,0.699999988079
NGC2264.12,06h40m59.1s +09d33m23.9s,Isolated,0.0,2.25330616234,1.37135968119,0.208273315057,0.0219999998808,0.00994997564703,,3.32999992371,7.44414234161,2.25330616234,0.0,14.0,1.29999995232
